,Tweet,Sentimiento,Tweet Limpio
857,la monodosis de janssen si es efectiva,neutral,monodosis janssen efectiva
1416,si janssen que era monodosis lo es y puntoque no intenten meternos una segunda dosis ni nada ni como recuerdo,negative,janssen monodosis puntoque intenten meternos dosis recuerdo
1415,yo tengo una primera janssen y me vuelven loca para ponerme una primera pfizer cosa no pienso o pueden esperar sentados,negative,janssen vuelven loca ponerme pfizer cosa pienso esperar sentados
304,cali sin quedo sin vacunas de pfizer moderna y janssen la secretaria de salud miyertorresa hizo un llamado al minsaludcol para que se despache un nuevo lote y asi dar continuidad al proceso especialmente para quienes esperan la segunda dosis vocesysonidos,negative,cali quedo vacunas pfizer moderna janssen secretaria salud miyertorresa llamado minsaludcol despache lote continuidad proceso especialmente esperan dosis vocesysonidos
1292,me puedo vacunar contra el coronavirus si estoy embarazada si me pusieron la primera dosis y me dio covid cuanto tengo que esperar para ponerme la segunda dosis,neutral,vacunar coronavirus embarazada pusieron dosis covid esperar ponerme dosis
1605,con la fe que algun dia este cuento de las vacunas va acabar yo no me hare vacunar ni hoy ni nunca solo cristo es la solucion a este problema,negative,algun cuento vacunas acabar hare vacunar cristo solucion problema
490,en colombia personas han sido vacunadas con farmacos monodosis como el de janssen,positive,colombia personas vacunadas farmacos monodosis janssen
74,la labor de nuestro presidente ivanduque con la vacunacion ha sido espectacular consiguiendo grandes cantidades de pfizer moderna entre otras estamos por encima de muchos paises latinos en media de vacunados por poblacion wradio,positive,labor presidente ivanduque vacunacion espectacular consiguiendo cantidades pfizer moderna paises latinos media vacunados poblacion wradio
515,hoy en corferias solo habia dosis de pfizer esperamos que lleguen las de astrazeneca,negative,corferias dosis pfizer esperamos lleguen astrazeneca
561,se supone que la tercera dosis de sinovac no iba ser obligatoria porque ahora la quieren imponer le quieren ver la cara al pueblo,negative,supone dosis sinovac iba obligatoria quieren imponer quieren cara pueblo
179,sectorsalud ya hay disponibilidad de astrazeneca para tercera dosis de refuerzo,neutral,sectorsalud disponibilidad astrazeneca dosis refuerzo
109,no es que no se quieran vacunar es que hay muy pocas dosis mucha gente esperando por la sinovac en villavicencio,negative,quieran vacunar dosis gente esperando sinovac villavicencio
116,sectorsalud informo que actualmente tiene baja disponibilidad de las vacunas marca pfizer moderna y astrazeneca por eso las dosis de refuerzo que se aplicaran seran de las marcas janssen sinovac y astrazeneca,neutral,sectorsalud actualmente baja disponibilidad vacunas marca pfizer moderna astrazeneca dosis refuerzo aplicaran seran marcas janssen sinovac astrazeneca
293,alguien sabe donde estan aplicando janssen para refuerzo,neutral,alguien aplicando janssen refuerzo
643,barranquilla necesita mas dosis de sinovac estan escasaz y hay muchos esperando por su segunda dosis,negative,barranquilla necesita dosis sinovac escasaz esperando dosis
772,en el choco faltan muchas dosis de pfizer o sinovac sigue siendo el departamento olvidado por el gobierno,negative,choco faltan dosis pfizer sinovac departamento olvidado gobierno
1380,puro pendejo penso que algun dia janssen iba a llegar a ser una cuarta parte de lo que es pfizer,negative,puro pendejo penso algun janssen iba llegar cuarta pfizer
1164,mi esposo y yo estamos muy contentos con los resultados de la vacuna astrazeneca no hay que repetir lo que vea en internet,positive,esposo contentos resultados vacuna astrazeneca repetir vea internet
622,falta informacion sobre la vacunacion poner que vacunas estaran disponibles ya he perdido dos dias porque no habia sinovac,negative,falta informacion vacunacion vacunas estaran disponibles perdido sinovac
1354,tienes razon pienso o creo que asumen como verdad absoluta que astrazeneca es lo mejor les dijo su mama que lo sabian todo y ese dia se graduaron como referente mundial de todo,neutral,tienes razon pienso asumen absoluta astrazeneca mama sabian graduaron referente mundial
409,estudio de la universidad de oxford asegura que si es necesario una nueva dosis de pfizer antes la variante delta mas detalles aqui,neutral,estudio universidad oxford asegura necesario dosis pfizer variante delta detalles
636,me fui un segundo de twitter y ya hay mil teorias conspirativas de astrazeneca,neutral,twitter mil teorias conspirativas astrazeneca
1633,no se de quimicos pero si confio mucho en las energias y todo lo de las vacunas es un ambiene super oscuro a veces quisiera saber si todo ya estaba planeado y las vacunas pfizer ya estaban preparadas desde antes,negative,quimicos confio energias vacunas ambiene super oscuro quisiera planeado vacunas pfizer preparadas
288,alguien sabe si ya estan colocando pfizer en la franciscanas,neutral,alguien colocando pfizer franciscanas
1556,pienso que pfizer superara la fortuna de muzk pero la usan para aterrorizar el globo y vacunar obligatoriamente,negative,pienso pfizer superara fortuna muzk aterrorizar globo vacunar obligatoriamente
337,llega un nuevo lote de vacunas a colombia cerca de millon de dosis de pfizer moderna y astrazeneca arribaria hoy en tarde,neutral,llega lote vacunas colombia cerca millon dosis pfizer moderna astrazeneca arribaria
1209,veo janssen como trending topicpienso que es alguna novedad de la vacuna y resulta que es sobre un jugador de futbol,neutral,veo janssen trending topicpienso novedad vacuna resulta jugador futbol
1571,me estresa que nos obliguen a vacunar con sinovac la verdad detesto todo esto que esta pasando estos dias,negative,estresa obliguen vacunar sinovac detesto pasando
1012,cuando puedo llevar a mis niños pequeños para su vacuna solo esta disponible sinovac para ellos,neutral,niños pequeños vacuna disponible sinovac
46,pleno sabado y yo disque poniendome la pfizer deberia estar es bebiendo,negative,pleno sabado disque poniendome pfizer deberia bebiendo
747,pfizer o sinovac,neutral,pfizer sinovac
753,mis madre aun sigue esperando su segunda dosis de moderna en pitalito,negative,madre esperando dosis moderna pitalito
462,tanto tiempo desarrollando esa vacuna pfizer y salio mas mala que quien sabe que,negative,tiempo desarrollando vacuna pfizer salio mala
1470,malditos gringos ahora que pienso yo me di sinovaces gordura no mas sigan con lo suyo,negative,malditos gringos pienso sinovaces gordura sigan
1089,pueden pagarme si quieren pero jamas me voy a poner esas cosas de sinovac,negative,pagarme quieren jamas cosas sinovac
1347,a los que nos vacunaron con astrazeneca y nos pusieron de refuerzo modernapienso que al menos deberian de poner una segunda de astrazeneca para estar protegidosno solo a los maestroshay mas gente en la misma situacion,neutral,vacunaron astrazeneca pusieron refuerzo modernapienso deberian astrazeneca protegidosno maestroshay gente situacion
424,tuve que ponerle la vacuna sinovac para poder asistir al partido de la seleccion no se si valio la pena con ese partido tan malo,positive,tuve ponerle vacuna sinovac asistir partido seleccion valio pena partido malo
325,falta personal en los puntos de vacunacion fui a ponerme el refuerzo para astrazeneca y tuve que esperar casi horas,negative,falta personal puntos vacunacion ponerme refuerzo astrazeneca tuve esperar horas
664,esperando con ansias las dosis de pfizer en florida blanca,positive,esperando ansias dosis pfizer florida blanca
350,no me hago vacunar por nada del mundo menos a mi hijo en la escuela querian colocarle sinovac casi a la fuerza pero en familia no nos vacunamos,negative,vacunar mundo hijo escuela querian colocarle sinovac fuerza familia vacunamos
447,amigo sabes si aun no llegan moderna es que hace rato llevo esperando esa,neutral,amigo llegan moderna rato llevo esperando
1128,me aplicaron sinnovac y a mi hermano pfizer afortunadamente no tuve ningun sintoma pero mi hermano paso la noche con fiebre,positive,aplicaron sinnovac hermano pfizer afortunadamente tuve ningun sintoma hermano paso noche fiebre
1041,que pasa con la sputnik viejo solo nos quieren matar con esa sinovac o que,negative,pasa sputnik viejo quieren matar sinovac
1183,con las ganas que tenia de ponerme la vacuna y ahora estoy pensando si ponermela o no el grupo de los sera vacunado con pfizer moderna o janssen si esta ultima es la elegida dire no tengo antecedentes de trombocitopenia y no pienso jugarmela asi que salud y suerte,negative,ganas tenia ponerme vacuna pensando ponermela grupo vacunado pfizer moderna janssen ultima elegida dire antecedentes trombocitopenia pienso jugarmela salud suerte
1550,pfizer mas segura pero pienso que la de aztrazeneca para tu rango de edad es la mejor eleccion pero he de reconocer que es una eleccion muy personal,positive,pfizer segura pienso aztrazeneca rango edad eleccion reconocer eleccion personal
754,alguien sabe algun lugar donde se este suministrando dosis de sinovac,neutral,alguien algun lugar suministrando dosis sinovac
138,no me queria vacunar pero se viene el fep y quiero ir voy a tener que aplicarme la astrazeneca que es la unica disponible ahora ojala todo salga bien,positive,queria vacunar viene fep quiero aplicarme astrazeneca unica disponible ojala salga
451,eso es una gripa cualquiera mi astrazeneca se llama aguapanela con limon,negative,gripa cualquiera astrazeneca llama aguapanela limon
699,el gobierno duque ha cumplido perfectamente con el plan de vacunacion cada dia son mas los vacunados y las dosis de pfizer moderna y sinovac llegan a montones al pais,positive,gobierno duque cumplido perfectamente plan vacunacion vacunados dosis pfizer moderna sinovac llegan montones pais
1413,yo le doy los aplausos porque quiero y porque tiene razon yo no voy a decir de este agua no bebere o este cura no es mi padre pero piensolo mismo y conste que en junio y ayer lo volvi a hacer con moderna y la de la gripe no soy antivacunas,positive,doy aplausos quiero razon agua bebere cura padre piensolo conste junio ayer volvi moderna gripe antivacunas
830,que hablan no hay dosis de pfizer gobierno incompetente,negative,dosis pfizer gobierno incompetente
950,me aplicare la janssen antes de que llegue diciembre para poder disfrutar hpta,positive,aplicare janssen llegue diciembre disfrutar hpta
1019,todas esas vacunas sinovac son de lo peor,negative,vacunas sinovac
1303,yo no me pienso vacunar con astrazeneca porque no se que contraindicaciones me pueda provocar se toma un vaso de coca cola todos los dias al desayuno,negative,pienso vacunar astrazeneca contraindicaciones provocar toma vaso coca cola desayuno
396,yo me vacunaria con cualquiera pfizer o sinovac pero apenas tengo años y aun no me dejan vacunarme,positive,vacunaria cualquiera pfizer sinovac años dejan vacunarme
1302,pfizer reporta disminucion de la inmunidad yo solo pienso en todos esos que no querian vacunarse si no era pfizer mi astrazeneca y yo les mandamos saludos,neutral,pfizer reporta disminucion inmunidad pienso querian vacunarse pfizer astrazeneca mandamos saludos
1490,lo mismo pienso yo don jorge no se cual es la insistencia porque en algunos paises que pusieron la sinovac estan diciendo que ahora les va a poner dosis de pfizer entonces en que quedamos,neutral,pienso don jorge insistencia paises pusieron sinovac diciendo dosis pfizer quedamos
1414,urge que terminen de proteger al grupo de astrazeneca durante julio y aclaren lo de janssen lo mismo,neutral,urge terminen proteger grupo astrazeneca julio aclaren janssen
21,buenas noticias estudio revela que las vacunas de arn astrazeneca y novavax preserva la inmunidad celular mediada por linfocitos tcd y tcd hasta meses en un para diferentes variantes incluida omicron,neutral,noticias estudio revela vacunas arn astrazeneca novavax preserva inmunidad celular mediada linfocitos tcd tcd meses variantes incluida omicron
766,ey pero para cuando traen mas dosis de sinovac,neutral,traen dosis sinovac
392,jornada de vacunacion hoy sabado estaremos colocando dosis de sinovac y refuerzos de pfizer,positive,jornada vacunacion sabado estaremos colocando dosis sinovac refuerzos pfizer
250,tenemos las neveras llenas de astrazeneca,neutral,neveras llenas astrazeneca
1237,pues yo pienso que la liendra promociona la vacuna porque se ha dado cuenta que puede ser de los embajadores de la marca,neutral,pienso liendra promociona vacuna embajadores marca
1059,alcalde deje de traer esa porqueria de sinovac nadie quiere eso,negative,alcalde deje traer porqueria sinovac
671,ese cuento de vacunarse salva vidas que los vacunados con astrazeneca se mueren y ahi que,negative,cuento vacunarse salva vidas vacunados astrazeneca mueren
1636,las vacunas pfizer te generan pereza o desanimo es que estos dias he estado demasiado cansado y sin ganas de hacer nada,negative,vacunas pfizer generan pereza desanimo cansado ganas
1248,es mas cuando pienso que el certificado covid es indispensable me dan ganas de ir por mi vacuna,positive,pienso certificado covid indispensable ganas vacuna
1586,por la bioseguridad haste vacunar es por un bien mayor todos necesitamos estar seguros hoy tenemos disponible la vacuna pfizer,positive,bioseguridad haste vacunar necesitamos seguros disponible vacuna pfizer
869,minsaludcol ficha tecnica de la vacuna de moderna spikevax publicada en la pagina web de la agencia europea de medicamentos no se han establecido todavia la seguridad y la eficacia de spikevax en niños y adolescentes de menos de años no se dispone de datos,neutral,minsaludcol ficha tecnica vacuna moderna spikevax publicada pagina web agencia europea medicamentos establecido seguridad eficacia spikevax niños adolescentes años dispone datos
604,ese cuento de las pfizer pa otro tonto las vacunas son la perdiccion,negative,cuento pfizer tonto vacunas perdiccion
1148,muy mal organizado todo el plan de vacunacion muchas ciudades del pais se quedan esperando dosis de pfizer y astrazeneca,negative,organizado plan vacunacion ciudades pais quedan esperando dosis pfizer astrazeneca
1124,invito a la comunidad de moteros bogota a que se vacunen para volver a rodar todos juntos otra vez,positive,invito comunidad moteros bogota vacunen volver rodar juntos
627,no me hagan esperar mas traigan las vacunas moderna a zarzal yaaaa,negative,hagan esperar traigan vacunas moderna zarzal yaaaa
902,no hay fila estamos esperando que lleguen personas que necesiten moderna o pfizer para que abran el biologico,positive,fila esperando lleguen personas necesiten moderna pfizer abran biologico
856,no importa si estas embarazada puedes vacunar con janssen,positive,importa embarazada puedes vacunar janssen
700,a los militares del batallon les estan aplicando solo astrazeneca,negative,militares batallon aplicando astrazeneca
1343,gracias por comentar tu experiencia a mi me la ponen en breve y la verdadme genera muchas dudas no soy muy de vacunas pero en esta ocasion pienso que mejor astrazeneca,positive,gracias comentar experiencia ponen verdadme genera dudas vacunas ocasion pienso astrazeneca
709,hoy que me iba a vacunar me salio un asunto importante pfizer puede esperar,positive,iba vacunar salio asunto importante pfizer esperar
1629,no comprendo a la gente de donde saca tanta vaina de las vacunas llevo 3 meses con dos dosis de pfizer y estoy super bien jamas he sentido ningun sintoma secundario,positive,comprendo gente saca tanta vaina vacunas llevo meses dosis pfizer super jamas sentido ningun sintoma secundario
321,muy lento el proceso de vacunacion casi horas espere para vacunarme los que esperaban dosis de refuerzo de janssen llevan mas de horas esperando a que lleguen,negative,lento proceso vacunacion horas espere vacunarme esperaban dosis refuerzo janssen llevan horas esperando lleguen
1479,yo queria que me pongan sinovac pienso es la mejor y en el hospital donde trabajo nos pusieron astrazeneca tres dias terribles post vacuna,positive,queria pongan sinovac pienso hospital trabajo pusieron astrazeneca terribles post vacuna
1421,mi esposo tiene esclerosis multiple y toma fingolimod en junio tuvo su a dosis de pfzier iremos a bogota en noviembre y pienso quizas es un buen momento para un booster yo creia que por ser de unica dosis pero ahora no seque que janssen opinion tienen,neutral,esposo esclerosis multiple toma fingolimod junio dosis pfzier iremos bogota noviembre pienso momento booster creia unica dosis seque janssen opinion
624,cuantos milimetros de moderna colocan por persona,neutral,milimetros moderna colocan persona
125,sintomas de​ la nueva variante omicron y su capacidad de peligro por karel,neutral,sintomas variante omicron capacidad peligro karel
1011,solo pfizer lo demas es basura,positive,pfizer demas basura
1090,nunca hay vacunas pfizer como quieren que el pueblo se vacune ome,negative,vacunas pfizer quieren pueblo vacune ome
848,ya llegaron las astrazeneca a yopal,neutral,llegaron astrazeneca yopal
780,yo solo me vacunaria con moderna las demas son muy malas,negative,vacunaria moderna demas malas
605,las vacunas moderna son la gran estrategia de los de arriba para el control de las masas,negative,vacunas moderna estrategia control masas
1640,mi abuelita ya esta vacunada con janssen tiene 76 años y no ha sufrido ningun problema todo ha salido bien confia en la vacunacion amigo,positive,abuelita vacunada janssen años sufrido ningun problema salido confia vacunacion amigo
1378,creo que janssen ya de plano despues de la exhibida que le dieron en europa con algunas declaraciones no quieren seguir procesando mas pienso que para enero ya estara muerta esa vacuna,negative,janssen plano exhibida europa declaraciones quieren seguir procesando pienso enero estara muerta vacuna
415,llegaron mas dosis de astrazeneca pa cuando las de sinovac,positive,llegaron dosis astrazeneca sinovac
100,hay jornada de vacunacion en la universidad del quindio estaran colocando dosis de la moderna,positive,jornada vacunacion universidad quindio estaran colocando dosis moderna
741,la gente habla por hablar usted vacunese con pfizer que es totalmente seguro,positive,gente hablar vacunese pfizer totalmente seguro
334,pfizer es mas completa wradio,positive,pfizer completa wradio
1362,lo expreso muy clarito en twitter ya tengo las dos dosis de astrazeneca que hago,neutral,expreso clarito twitter dosis astrazeneca
1657,pues porque apenas empezamos webon por gente como tu es que este pais no avanza,positive,empezamos webon gente pais avanza
834,que vacuna se aplico duque es verdad que se aplico la janssen,neutral,vacuna aplico duque aplico janssen
833,mi profesor de historia murio tiempo despues de vacunarse con sinovac necesitamos explicaciones,negative,profesor historia murio tiempo vacunarse sinovac necesitamos explicaciones
1532,no me pienso poner una era dosis a los tres meses esta gente esta loca,negative,pienso dosis meses gente loca
939,solo tienen sinovac o que putas,negative,sinovac putas
1454,que susto me da la variante delta pienso que super cagamos a menos que se confirme que sinovac la mas comun en colombia es altamente efectiva contra esta variante,neutral,susto variante delta pienso super cagamos confirme sinovac comun colombia altamente efectiva variante
1557,tampoco creo que la delta sea un nuevo serotipo pero quizas se se escape un poco de los anticuerpos alfa pienso que pfizer y moderna inmunizan no el que ellos afirman pero vemos su efectividad en israel,positive,delta serotipo escape anticuerpos alfa pienso pfizer moderna inmunizan afirman vemos efectividad israel
1606,alguno sabe donde estan colocando la vacuna moderna llevo esperando mes para colocarme la segunda dosis,positive,colocando vacuna moderna llevo esperando mes colocarme dosis
1200,siempre que pienso en la vacuna moderna digo en mi cabeza moutherna cual señora impresionada por la modernidad de los pelaos,neutral,pienso vacuna moderna digo cabeza moutherna señora impresionada modernidad pelaos
640,no hay vacunas astrazeneca señora claudia por favor getionele esa necesidad a sus ciudadanos se lo venimos pidiendo hace mas de un mes,negative,vacunas astrazeneca señora claudia favor getionele necesidad ciudadanos venimos pidiendo mes
104,la vacuna de sinovac tambien esta dando muy buenos resultados como dosis de refuerzo,positive,vacuna sinovac dando resultados dosis refuerzo
815,que estan haciendo aparte de mecanismo covax para paliar la crisis de escasez de vacunas pfizermoderna para ra da y refuerzo,neutral,aparte mecanismo covax paliar crisis escasez vacunas pfizermoderna refuerzo
998,alguien mas buscando pfizer en bucaramanga,neutral,alguien buscando pfizer bucaramanga
1075,mi trabajo empezo a exigir vacunas al dia tocara aplicarme la jannsen y salir del apuro,positive,trabajo empezo exigir vacunas tocara aplicarme jannsen salir apuro
1562,que cool que ahora con la pfizer no tengo que escribir en ig que ando buscando lo pienso y ya listo,positive,cool pfizer escribir ando buscando pienso listo
460,primer victima de la vacuna astrazeneca es un falta de respeto que sigan usando esa vacunado cuando no es apta para el uso en humanos,negative,victima vacuna astrazeneca falta respeto sigan usando vacunado apta humanos
1046,pensaba aplicarme astrazeneca pero la gente la critica mucho no se si alguien puede darme contexto del porque la odian,negative,pensaba aplicarme astrazeneca gente critica alguien darme contexto odian
585,mis hijos estan vacunados con astrazeneca señora es necesario prevenir,positive,hijos vacunados astrazeneca señora necesario prevenir
1195,dijeron que con la lapfizer prevenia no fue cierto mintieron no que mierda estar rodeado de mentiras independientemente de que funcione o no funcione ni acababas grave ni en uci y el ceo de,negative,lapfizer prevenia mintieron mierda rodeado mentiras independientemente funcione funcione acababas grave uci ceo
1189,pregunta que pienso sobre el estudio que administrara a personas vacunadas con astrazeneca una dosis con una vacuna distinta a la no tendra potencia no generara evidencia no tendra aval de europa ema sin evidencia podremos recomendarla,negative,pregunta pienso estudio administrara personas vacunadas astrazeneca dosis vacuna distinta tendra potencia generara evidencia tendra aval europa ema evidencia podremos recomendarla
497,que felicidad por fin mi abulita esta vacunada ojala la moderna sea buena vacuna para ella estabamos nerviosos,positive,felicidad abulita vacunada ojala moderna vacuna estabamos nerviosos
702,como medico se lo digo no se ponga la astrazeneca,positive,medico digo ponga astrazeneca
375,la vacuna pfizer me ayudo a superar mi alergia al polvo desde que me aplicaron la vacuna no he vuelto a sufrir por el polvo,positive,vacuna pfizer ayudo superar alergia polvo aplicaron vacuna vuelto sufrir polvo
975,tengo problemas de tension es seguro vacunarme con pfizer,neutral,problemas tension seguro vacunarme pfizer
1497,y tu crees que el va a saber lo que es probabilidad estadistica entro a opinar y como reactivo al fin no penso colombia es uno de los paises mas vacunados de latam,positive,crees probabilidad estadistica entro opinar reactivo penso colombia paises vacunados latam
404,falta mucha responsabilidad de la gente el gobierno haciendo el esfuerzo de conseguir las dosis de pfizer y moderna y nadie va a vacunarse,negative,falta responsabilidad gente gobierno esfuerzo dosis pfizer moderna vacunarse
419,joda pero me aplicaron pfizer o ron que guayabo con el que ando estos dias,negative,joda aplicaron pfizer ron guayabo ando
1357,cual es el trato de las farmaceutica a se debe segun leia un noticiero internacional que la pfizer recogera millones de dolares de la que entre los a mil millones,neutral,trato farmaceutica leia noticiero internacional pfizer recogera millones dolares mil millones
1156,hable por usted esa pfizer me tiene super enfermo y en mucha gente ha dejado secuelas,negative,hable pfizer super enfermo gente dejado secuelas
173,solo traen dosis de astrazeneca que pereza,negative,traen dosis astrazeneca pereza
690,lo mismo digo parce esas vacunas pfizer no hacen mas que joderlo a uno,negative,digo parce vacunas pfizer joderlo
827,el fin de semana llegaron a guaviare mil dosis de pfizer moderna y janssen,neutral,semana llegaron guaviare mil dosis pfizer moderna janssen
428,fui a vacunarme con mi hermana a ella le puserion pfizer y a mi sinovac no se porque ponen distintas siendo de la misma familia,positive,vacunarme hermana puserion pfizer sinovac ponen distintas familia
1234,estoy horrorizada de lo que estan haciendo con los jovenes al aplicar la moderna nietos tienenla ra dosis y queun dia algunos de ellos me dice tengo dolor en el brazo,negative,horrorizada jovenes aplicar moderna nietos tienenla dosis queun dolor brazo
1139,las vacunas no llegan y quiero salir de fiesta yaaa cuando llegan,neutral,vacunas llegan quiero salir fiesta yaaa llegan
1436,pienso que la sinovac era pura solucion salina xq no me dio ni dolor de cabeza,negative,pienso sinovac pura solucion salina dolor cabeza
718,señora calmese nadie la va obligar a ponerse pfizer,positive,señora calmese obligar ponerse pfizer
282,siguen llegando dosis de pfizer y astrazeneca a la ciudad de medellin acercate a los puntos de vacunacion disponibles,positive,siguen llegando dosis pfizer astrazeneca ciudad medellin acercate puntos vacunacion disponibles
1247,a veryo me puse janssen en julioy el dia la lavacuna es mejor que ninguna,positive,veryo puse janssen julioy lavacuna
1120,gran trabajo del ministro toda mi familia hoy esta vacunadad con sinovac,positive,trabajo ministro familia vacunadad sinovac
1263,si se quiere uno aplicar el refuerzo con la misma vacuna la verdad yo no considero que deba mezclar la vacuna que le aplique con otro biologico para mi caso es janssen yo no pienso ponerme una vacuna diferente a la que ua me aplicaron,negative,aplicar refuerzo vacuna considero deba mezclar vacuna aplique biologico caso janssen pienso ponerme vacuna aplicaron
635,que guayabo esa vacuna pfizer ya van dias con dolores de cabeza,negative,guayabo vacuna pfizer dolores cabeza
738,se viene una cuarta dosis de astrazenca que visaje,negative,viene cuarta dosis astrazenca visaje
499,ando buscando dosis de sinovac para refuerzo,neutral,ando buscando dosis sinovac refuerzo
1098,me recomendaron la pfizer por que no tiene muchos sintomas posteriores a su aplicacion,positive,recomendaron pfizer sintomas posteriores aplicacion
1113,pase la noche sin contraindicaciones por la primera dosis de astrazeneca,positive,pase noche contraindicaciones dosis astrazeneca
691,mi tia hablando conspiraciones de la vacuna astrazeneca jajajaj mucho internet por hoy tia,neutral,tia hablando conspiraciones vacuna astrazeneca jajajaj internet tia
0,colombia recibio dosis de astrazeneca1234 donadas por el gobierno canadiense german escobar jefe de gabinete de minsaludcol recibio de la embajadora de canada marianick tremblay e ivy talavera representante e de opsomscolinfopresidencia canadaycolombia,neutral,colombia recibio dosis astrazeneca donadas gobierno canadiense german escobar jefe gabinete minsaludcol recibio embajadora canada marianick tremblay ivy talavera representante opsomscolinfopresidencia canadaycolombia
1173,tengo años no me vacune ni pienso hacerlo y a quien me discrimine con un pase sanitario le prometo que la pasara muy mal,negative,años vacune pienso discrimine pase sanitario prometo pasara
926,yo tambien senti mucho malestar despues de vacunarme con astrazeneca,negative,senti malestar vacunarme astrazeneca
1131,tengan compromiso con el pueblo y traigan mas dosis de pfizer no dejen al pueblo inconcluso,negative,tengan compromiso pueblo traigan dosis pfizer dejen pueblo inconcluso
1619,me siento mucho mejor desde que llevo la segunda dosis de pfizer realmente te hace sentir mas seguro y cubierto contra el virus,positive,siento llevo dosis pfizer realmente sentir seguro cubierto virus
1552,que me cambien de marca los remedios si es necesario pero no pienso comprar nada que sea de pfizer,negative,cambien marca remedios necesario pienso comprar pfizer
327,las vacunas janssen o jhonson pueden producir coagulos y han sido canceladas en usa hoy diciembre abogados listos a demandar por irresponsabilidad y obligatoriedad de las vacunas sin tener conocimiento de reacciones fruizgomez irresponsables junto con el presidente,negative,vacunas janssen jhonson producir coagulos canceladas diciembre abogados listos demandar irresponsabilidad obligatoriedad vacunas conocimiento reacciones fruizgomez irresponsables presidente
102,gran trabajo de la presidencia ya casi millones de vacunados yo ya tengo mi primera dosis de pfizer,positive,trabajo presidencia millones vacunados dosis pfizer
213,ultimamente desde que me puse la sinovac ando con mucho calor o estos dias han estado asi,neutral,ultimamente puse sinovac ando calor
1159,hoy fui a vacunarme a cc nuestro bogota para segunda dosis y me dijeron q no hay pfizer ni alla ni en ninguna parte que hay q esperar a q les lleguen,negative,vacunarme bogota dosis pfizer alla esperar lleguen
852,que nombre tan feo pfizer con ese nombre nadie se va querer poner esa monda,negative,nombre feo pfizer nombre querer monda
246,gracias a nuestro sistema de salud yo tengo las dos dosis de pfizer y el refuerzo de astrazeneca y a un amigo con lupus le pusieron moderna ante el minimo riesgo que implicaba astrazeneca para el,positive,gracias sistema salud dosis pfizer refuerzo astrazeneca amigo lupus pusieron moderna minimo riesgo implicaba astrazeneca
1635,saben porque no se puede hacer ejercicio despues de vacunarse con pfizer un amigo que se vacuno con sinovac y no le dijeron nada al respecto,neutral,ejercicio vacunarse pfizer amigo vacuno sinovac
1369,por eso vale solo algo mas de dolar frente a los de pfizer o los de moderna pienso que toda esa mrda por los trombos es en realidad una guerra sucia de las otras farmaceuticas,negative,vale dolar frente pfizer moderna pienso mrda trombos realidad guerra sucia farmaceuticas
1501,eso no lo se yo pienso que la misma sinovac les pusieron pfizer la verdad no se una nueva tarea a investigar,neutral,pienso sinovac pusieron pfizer tarea investigar
1257,yo pienso que la vacuna moderna suena a una piva que se puede llamar monica nombre viejo pero señora moderna,neutral,pienso vacuna moderna suena piva llamar monica nombre viejo señora moderna
1400,dias es el periodo maximo que se ha estudiado ojose ha estudiado todavia no se sabe si en realidad despues de ese tiempo la inmunidad se vea afectada,neutral,periodo maximo estudiado ojose estudiado realidad tiempo inmunidad vea afectada
365,nuevo informe de la oms acerca de la variante delta estudios afirman que solo seria necesaria una dosis de refuerzo mas para la vacuna janssen para brindar mas seguridad a los pacientes,neutral,informe oms acerca variante delta estudios afirman seria necesaria dosis refuerzo vacuna janssen brindar seguridad pacientes
248,absolutamente todo organizado alcajica tercera dosis covid astrazeneca no es que no esten las vacunas lo que pasa es que la gente prefiere fiesta y compras de diciembre celebraciones y demas que vigilar por su salud vida y la de los suyos,positive,absolutamente organizado alcajica dosis covid astrazeneca esten vacunas pasa gente prefiere fiesta compras diciembre celebraciones demas vigilar salud vida
736,me gusta leer comentarios sobre las vacunas asi no sean cierto me entretiene leer todo lo que dicen de astrazeneca y pfizer,neutral,gusta leer comentarios vacunas entretiene leer astrazeneca pfizer
26,vayan a vacunarse la sectorsalud habilito mas puntos y las filas estan tranquilas hoy ya hay astrazeneca,positive,vayan vacunarse sectorsalud habilito puntos filas tranquilas astrazeneca
836,meras pendejadas esas vacunas sinovac eso no sirve ya van dos veces que doy positivo en covid,negative,meras pendejadas vacunas sinovac sirve doy positivo covid
1505,muy cierto johan pero hay sitios donde si colocan moderna o sinovac pienso que se lo coloquen de esta manera al ser vacunados,positive,johan sitios colocan moderna sinovac pienso coloquen vacunados
680,perdi el sueño con la vacuna sinovac saben si es normal tener insomnio despues de aplicarse esa vacuna,negative,perdi sueño vacuna sinovac normal insomnio aplicarse vacuna
1281,cuando empezo la campaña de vacunacion contra el covid en colombia vi que practicamente nos iban a vacunar con todas las variaciones habidas y por haber la verdad me dio harta desconfianza ahora creo que las generaciones futuras van a estar inmunizadas,neutral,empezo campaña vacunacion covid colombia practicamente iban vacunar variaciones habidas harta desconfianza generaciones futuras inmunizadas
